year,month,loadE,solarE,windE,loadPmax,solarPmax,windPmax,netLoadmin
2014,1,17652837.0,525916.0,520249.0,28516.5,2634.6666666666665,1260.4666666666667,15692.9
2014,2,15702437.0,589781.0,831559.5,27912.296296296296,2991.740740740741,2139.8518518518517,14650.074074074075
2014,3,17228826.0,885951.0,1073761.0,27566.666666666668,3609.266666666667,2698.5,13807.566666666668
2014,4,17154702.0,1026076.0,1299738.0,28295.310344827587,3929.6206896551726,2965.344827586207,13640.310344827587
2014,5,19299378.0,1183028.0,1741863.5,31651.8,4152.533333333334,3275.766666666667,14081.0
2014,6,19761882.5,1289961.0,1850458.0,33736.58620689655,4487.9655172413795,3685.7586206896553,14720.655172413793
2014,7,22809300.0,1187233.0,1414201.0,38845.7,4261.133333333333,3153.0666666666666,17546.666666666668
2014,8,22193307.5,1200522.0,1268015.5,38356.066666666666,4350.866666666667,2707.5666666666666,16918.433333333334
2014,9,21253611.0,1133296.0,952916.5,38094.31034482759,4477.517241379311,2381.8275862068967,16543.03448275862
2014,10,19290504.0,1008066.0,769639.0,32150.633333333335,4193.566666666667,1903.9,14781.3
2014,11,16752027.5,806731.0,648944.0,28496.689655172413,3959.9655172413795,1499.6896551724137,13713.827586206897
2014,12,17568240.5,581802.0,544873.5,28807.533333333333,3036.4,1240.4666666666667,14912.533333333333
2015,1,17470658.0,716217.0,173855.5,28319.966666666667,3502.6,545.5666666666667,15282.533333333333
2015,2,15562570.0,952388.0,617617.0,27905.074074074073,4543.37037037037,1610.5925925925926,13171.25925925926
2015,3,17682452.5,1311791.0,787200.0,28523.933333333334,5141.166666666667,1872.0666666666666,12983.533333333333
2015,4,16979978.5,1487408.0,1242882.0,27898.724137931036,5555.413793103448,2855.310344827586,12241.344827586207
2015,5,17634008.0,1515772.0,1672080.0,27864.3,5349.233333333334,3308.5666666666666,12463.033333333333
2015,6,20129494.5,1599447.0,1619615.5,34594.48275862069,5608.172413793103,3394.0344827586205,14158.551724137931
2015,7,21726179.5,1650734.0,1433536.5,36375.73333333333,5685.333333333333,2967.9,15413.933333333332
2015,8,22783403.0,1685344.0,1502654.0,39420.53333333333,5959.4,3020.633333333333,15803.766666666666
2015,9,21436762.5,1462047.0,867958.0,38248.93103448276,5750.827586206897,1968.6206896551723,15698.48275862069
2015,10,19772522.5,1223360.0,677011.0,33243.96666666667,5102.2,1782.9,14658.133333333333
2015,11,16751676.0,1102246.0,568162.0,28304.51724137931,5117.551724137931,1345.344827586207,12884.689655172413
2015,12,18067579.5,932369.0,962764.5,29554.766666666666,4533.9,2031.0666666666666,13950.566666666668
